Unnamed: 0,image,discriminator_score,race,hair_length,red_mean,green_mean,blue_mean,luminance
262,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/597_cropped.png,147.0345916748047,white,long,112.459724,112.459724,112.459724,0.44101855
263,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/466_cropped.png,159.14358520507812,white,long,148.41417,117.29331,97.03083,0.4801942
264,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/538_cropped.png,163.2877655029297,white,long,93.33499,92.7856,110.253296,0.36926687
265,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/387_cropped.png,134.9029083251953,white,long,171.18481,171.18481,171.1995,0.67131734
266,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/419_cropped.png,168.9239959716797,white,long,162.16162,137.93625,124.240425,0.55725443
267,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/783_cropped.png,99.3483428955078,white,long,87.85698,87.85698,87.85698,0.34453723
268,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/733_cropped.png,163.1551513671875,white,long,177.68488,166.31535,161.234,0.6602613
269,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/499_cropped.png,178.4862518310547,white,long,130.29305,106.28541,100.56849,0.43521002
270,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/841_cropped.png,172.42355346679688,white,long,155.92722,137.02771,127.7358,0.5504961
271,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/268_cropped.png,134.28089904785156,white,long,141.08168,129.90643,119.2134,0.51573086
272,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/447_cropped.png,168.519287109375,white,long,187.32137,175.35661,154.53203,0.6917579
273,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/77_cropped.png,133.14755249023438,white,long,97.83428,83.89152,77.29556,0.33874795
274,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/312_cropped.png,157.43724060058594,white,long,178.51558,138.54099,105.74901,0.56735635
275,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/837_cropped.png,180.9997711181641,white,long,154.56413,121.64274,106.34055,0.5001561
276,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/276_cropped.png,149.94805908203125,white,long,133.85222,122.53043,127.82426,0.4914521
277,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/321_cropped.png,187.78549194335935,white,long,183.76874,147.4307,129.42017,0.60336834
278,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/192_cropped.png,150.86019897460938,white,long,146.61325,110.7201,103.7871,0.4621693
279,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/586_cropped.png,114.23816680908205,white,long,53.805798,53.805798,53.805798,0.21100312
280,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/102_cropped.png,156.55450439453125,white,long,163.49223,143.10396,137.329,0.57656145
