image.num,stim.race,stim.gen,hair_length,stim.num,discriminator_score,red_mean,green_mean,blue_mean,luminance,Skintone.1,Race.1,RaceTextbox.1,Afrocentric.1,Eurocentric.1,Asiocentric.1,Masculinity.1,Femininity.1,Hair.1,Skintone.2,Race.2,RaceTextbox.2,Afrocentric.2,Eurocentric.2,Asiocentric.2,Masculinity.2,Femininity.2,Hair.2,Skintone.3,Race.3,RaceTextbox.3,Afrocentric.3,Eurocentric.3,Asiocentric.3,Masculinity.3,Femininity.3,Hair.3,Skintone.4,Race.4,RaceTextbox.4,Afrocentric.4,Eurocentric.4,Asiocentric.4,Masculinity.4,Femininity.4,Hair.4,Skintone.5,Race.5,RaceTextbox.5,Afrocentric.5,Eurocentric.5,Asiocentric.5,Masculinity.5,Femininity.5,Hair.5,Skintone.6,Race.6,RaceTextbox.6,Afrocentric.6,Eurocentric.6,Asiocentric.6,Masculinity.6,Femininity.6,Hair.6,Skintone.7,Race.7,RaceTextbox.7,Afrocentric.7,Eurocentric.7,Asiocentric.7,Masculinity.7,Femininity.7,Hair.7,Skintone.8,Race.8,RaceTextbox.8,Afrocentric.8,Eurocentric.8,Asiocentric.8,Masculinity.8,Femininity.8,Hair.8,Skintone.9,Race.9,RaceTextbox.9,Afrocentric.9,Eurocentric.9,Asiocentric.9,Masculinity.9,Femininity.9,Hair.9,Skintone.10,Race.10,RaceTextbox.10,Afrocentric.10,Eurocentric.10,Asiocentric.10,Masculinity.10,Femininity.10,Hair.10,Skintone.11,Race.11,RaceTextbox.11,Afrocentric.11,Eurocentric.11,Asiocentric.11,Masculinity.11,Femininity.11,Hair.11,Skintone.12,Race.12,RaceTextbox.12,Afrocentric.12,Eurocentric.12,Asiocentric.12,Masculinity.12,Femininity.12,Hair.12,Skintone.13,Race.13,RaceTextbox.13,Afrocentric.13,Eurocentric.13,Asiocentric.13,Masculinity.13,Femininity.13,Hair.13,Skintone.14,Race.14,RaceTextbox.14,Afrocentric.14,Eurocentric.14,Asiocentric.14,Masculinity.14,Femininity.14,Hair.14,Skintone.15,Race.15,RaceTextbox.15,Afrocentric.15,Eurocentric.15,Asiocentric.15,Masculinity.15,Femininity.15,Hair.15,Skintone.16,Race.16,RaceTextbox.16,Afrocentric.16,Eurocentric.16,Asiocentric.16,Masculinity.16,Femininity.16,Hair.16
1,a,m,long,1.png,112.1425323,107.167946,90.29286,55.61429,0.35834894,4,Native Hawaiian or Other Pacific Islander,,1,4,4,7,2,4,3,American Indian or Alaska Native,,1,1,6,6,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
2,a,m,long,10.png,164.0626678,143.50525,130.51797,127.004875,0.52167237,2,Asian,,1,1,7,5,2,3,2,Asian,,1,1,7,7,1,2,2,Asian,,1,2,7,6,2,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
3,a,m,long,100.png,128.8761444,104.565636,105.18365,104.22744,0.41169888,2,Asian,,1,1,7,7,1,6,1,Asian,,1,2,7,7,1,6,1,Native Hawaiian or Other Pacific Islander,,5,5,5,4,5,6,1,Asian,,1,1,7,7,1,7,1,Asian,,1,1,7,5,3,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
4,a,m,long,11.png,141.5117493,98.547066,127.65479,136.73164,0.47889996,4,Black,,5,1,1,7,1,7,4,Native Hawaiian or Other Pacific Islander,,1,1,4,6,2,7,4,American Indian or Alaska Native,,2,3,5,6,1,7,3,Native Hawaiian or Other Pacific Islander,,1,6,4,5,2,4,1,American Indian or Alaska Native,,1,1,7,7,1,7,3,Native Hawaiian or Other Pacific Islander,,1,1,7,7,1,7,3,Native Hawaiian or Other Pacific Islander,,1,1,7,NA,1,6,3,American Indian or Alaska Native,,1,1,5,4,2,6,5,Asian,,2,1,6,6,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
5,a,m,long,12.png,144.6371002,172.98244,106.01259,82.421684,0.4649122,4,Asian,,1,1,6,5,1,6,1,White,,1,7,2,7,1,7,3,Asian,,1,1,6,5,1,4,3,Asian,,1,1,7,4,2,6,4,Asian,,1,2,6,5,2,6,2,Asian,,1,1,5,6,2,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
6,a,m,long,13.png,136.0263824,136.31203,85.79566,69.93782,0.37409648,3,Native Hawaiian or Other Pacific Islander,,3,2,4,7,1,6,2,Asian,,1,2,7,3,4,6,4,Black,,5,1,1,7,1,6,3,Native Hawaiian or Other Pacific Islander,,1,1,3,3,3,7,6,Black,,6,6,5,5,4,4,3,Asian,,2,2,6,6,2,5,2,Asian,,1,2,4,4,1,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
7,a,m,long,14.png,142.8746948,127.703186,116.8221,117.75072,0.46746358,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
8,a,m,long,15.png,167.1401062,133.27864,110.54385,101.44086,0.44988993,3,Native Hawaiian or Other Pacific Islander,,1,1,6,6,2,2,3,Asian,,1,1,7,7,1,2,4,American Indian or Alaska Native,,2,1,1,5,2,2,2,Native Hawaiian or Other Pacific Islander,,1,1,6,7,1,2,1,Asian,,1,1,7,7,1,2,2,Asian,,1,3,6,5,1,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
9,a,m,long,16.png,126.8384171,110.1975,99.27613,83.3361,0.39391539,5,American Indian or Alaska Native,,1,4,4,7,1,7,4,,SPANISH,1,2,7,6,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
10,a,m,long,17.png,159.6928711,121.98842,111.388306,103.47533,0.44341797,4,Asian,,6,5,6,6,2,2,3,Asian,,2,4,6,3,4,3,2,Asian,,1,1,7,5,3,2,3,American Indian or Alaska Native,,1,1,5,6,2,3,2,Asian,,2,5,5,3,5,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
11,a,m,long,18.png,170.5854492,165.95694,143.71379,138.21706,0.58057874,2,Asian,,1,1,6,6,2,6,3,Asian,,1,2,7,4,2,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
12,a,m,long,19.png,137.9535828,91.56545,95.289536,94.03359,0.37022313,5,American Indian or Alaska Native,,1,4,4,7,1,6,6,Not listed,Arabic,6,2,1,7,1,5,5,Not listed,Middle Eastern,2,3,4,5,3,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
13,a,m,long,2.png,124.6590424,107.591805,91.56001,80.98747,0.36943725,4,Native Hawaiian or Other Pacific Islander,,1,1,6,6,1,6,5,American Indian or Alaska Native,,1,1,2,1,7,7,3,Asian,,1,3,6,6,2,7,4,Asian,,2,1,6,4,4,6,2,Asian,,1,2,6,7,1,6,1,White,,1,1,7,7,2,7,4,American Indian or Alaska Native,,1,2,6,6,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
14,a,m,long,20.png,158.3742065,99.74072,73.514366,60.985104,0.30661857,3,Native Hawaiian or Other Pacific Islander,,1,2,3,6,2,4,3,Asian,,2,NA,6,5,2,5,3,American Indian or Alaska Native,,1,4,4,7,1,5,3,Native Hawaiian or Other Pacific Islander,,1,2,4,4,1,5,4,American Indian or Alaska Native,,1,1,3,5,1,6,4,Asian,,1,3,4,7,1,6,4,American Indian or Alaska Native,,1,2,2,7,1,7,2,American Indian or Alaska Native,,1,1,7,7,1,4,4,Asian,,1,2,6,6,2,7,4,American Indian or Alaska Native,,2,2,4,5,3,5,5,Native Hawaiian or Other Pacific Islander,,1,1,3,7,1,3,3,American Indian or Alaska Native,,1,1,1,6,2,7,4,Native Hawaiian or Other Pacific Islander,NA,1,1,4,6,2,5,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
15,a,m,long,21.png,134.4575348,152.4381,138.5951,135.15247,0.5540809,2,Asian,,1,NA,7,5,3,7,2,Native Hawaiian or Other Pacific Islander,,1,1,4,2,3,5,2,Asian,,1,2,6,5,2,7,2,Asian,,1,2,6,5,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
16,a,m,long,22.png,143.5497742,114.87685,103.271454,99.64394,0.4136385,5,Asian,,1,3,7,6,1,6,4,American Indian or Alaska Native,,2,4,5,6,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
17,a,m,long,23.png,150.0494232,156.40236,138.93921,131.13504,0.5572154,4,Asian,,1,1,7,1,6,7,1,,Japanese,1,1,6,2,7,7,1,Asian,,1,1,7,7,3,7,1,Asian,,1,1,7,3,6,7,1,Asian,Asian,1,1,7,2,6,7,1,Asian,,1,2,7,2,6,7,1,Asian,,1,1,6,3,6,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
18,a,m,long,24.png,113.1655807,44.93279,29.893204,22.583288,0.1277025,2,Native Hawaiian or Other Pacific Islander,,2,2,6,3,6,5,3,Asian,,1,2,6,1,6,7,5,Asian,,1,5,6,4,4,5,4,Asian,,2,4,7,NA,4,5,2,Asian,,1,1,4,4,5,6,2,Asian,,1,1,6,5,3,7,3,Asian,,1,1,7,5,4,7,4,Asian,,3,1,3,2,6,6,3,Asian,,1,1,6,4,5,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
19,a,m,long,25.png,180.4020844,171.391,166.73682,170.9986,0.65895766,4,Asian,,1,1,6,6,1,5,4,American Indian or Alaska Native,,1,2,6,6,2,5,3,Asian,,1,1,7,5,4,5,2,American Indian or Alaska Native,,1,1,4,6,2,5,2,American Indian or Alaska Native,,1,2,2,5,3,4,4,Asian,,1,2,6,NA,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
20,a,m,long,26.png,144.64534,191.14874,185.18707,177.14769,0.7289207,1,Asian,,1,1,6,4,4,4,1,Asian,,1,1,6,3,5,6,1,Asian,,1,1,7,5,3,2,3,Asian,,1,2,7,5,4,4,1,Asian,,1,4,5,5,3,4,1,Asian,,1,1,7,7,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
21,a,m,long,27.png,151.837616,152.02042,142.88423,135.81468,0.5659491,3,Asian,,3,3,6,5,2,6,3,Asian,,1,1,7,7,1,6,4,Asian,,1,1,5,7,1,5,2,Native Hawaiian or Other Pacific Islander,,1,2,7,7,1,7,4,Native Hawaiian or Other Pacific Islander,,1,1,3,4,3,6,2,Asian,,1,1,7,7,1,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
22,a,m,long,28.png,140.636734,115.93369,95.40514,83.78427,0.38796988,3,Asian,,1,2,6,5,2,6,3,Asian,,1,2,5,5,1,7,3,Asian,,1,1,7,6,2,6,4,Asian,,1,1,7,7,1,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
23,a,m,long,29.png,137.261734,134.46371,97.04609,73.15345,0.4050174,2,White,,1,6,1,7,1,5,1,White,,1,7,1,6,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
24,a,m,long,3.png,176.2738953,125.29037,114.52195,104.41974,0.45522758,1,Native Hawaiian or Other Pacific Islander,,1,1,6,7,1,7,3,Asian,,1,1,7,4,4,6,2,American Indian or Alaska Native,,1,6,2,4,2,7,3,Asian,,1,4,3,5,3,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
25,a,m,long,30.png,116.6680069,107.003395,88.98842,76.76743,0.36054003,3,Asian,,2,2,4,3,2,5,4,Asian,,1,1,6,5,2,6,1,Asian,,1,1,7,7,1,7,3,Asian,,1,1,7,7,1,6,3,Asian,,1,1,7,7,1,6,3,Asian,,1,1,7,6,2,7,3,Asian,,1,2,6,7,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
26,a,m,long,31.png,157.7221222,120.20574,94.19176,79.080925,0.3867986,4,Asian,,1,1,6,6,1,5,3,Asian,,1,1,7,6,2,5,3,Asian,,1,1,7,7,1,4,2,Asian,,1,1,7,5,3,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
27,a,m,long,32.png,179.6770782,171.78697,137.43382,122.82961,0.56347364,3,Asian,,1,3,6,5,2,2,1,American Indian or Alaska Native,,1,3,1,4,4,7,2,Asian,,1,1,7,4,4,6,1,White,,1,7,2,7,2,6,1,Asian,,1,5,5,4,3,7,1,Asian,,1,1,5,1,3,3,1,Asian,,1,6,6,6,1,6,1,Native Hawaiian or Other Pacific Islander,,1,5,3,5,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
28,a,m,long,33.png,109.7448044,103.6672,96.05145,93.62058,0.38233596,2,Asian,,1,1,4,4,2,5,3,Asian,,2,2,7,5,4,7,1,Asian,,1,3,6,7,1,5,4,Asian,,1,3,6,5,3,6,1,Asian,,1,1,7,6,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
29,a,m,long,34.png,104.4629059,118.52278,104.716896,96.1953,0.41975698,3,Asian,,1,7,1,7,1,7,2,Asian,,1,2,6,5,4,7,3,Asian,,1,1,7,6,2,6,5,Asian,Asian,1,1,7,6,2,7,2,Asian,,1,3,6,5,1,3,NA,,,NA,NA,NA,NA,NA,NA,4,Native Hawaiian or Other Pacific Islander,,1,2,4,6,2,7,2,Asian,,1,1,7,6,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
30,a,m,long,35.png,164.8303833,185.75671,172.14711,166.14891,0.6847394,5,Asian,,1,1,6,5,1,7,3,Asian,,1,1,7,7,1,6,4,Asian,,1,3,6,5,1,4,2,Asian,,1,2,7,6,1,7,3,Asian,,1,2,4,6,1,7,5,Asian,,1,NA,6,4,1,6,3,Native Hawaiian or Other Pacific Islander,,2,2,6,5,2,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
31,a,m,long,36.png,167.1401062,133.27864,110.54385,101.44086,0.44988993,4,Native Hawaiian or Other Pacific Islander,,1,2,4,4,2,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
