,X,stim.race,stim.gen,hairlength,stim.num,fullstimname,men.low.agree,dup,matches_prompt,discriminator_score,red_mean,green_mean,blue_mean,luminance,Skintone.1,Race.1,RaceTextbox.1,Afrocentric.1,Eurocentric.1,Asiocentric.1,Masculinity_1,Femininity.1,Hair.1,Skintone.2,Race.2,RaceTextbox.2,Afrocentric.2,Eurocentric.2,Asiocentric.2,Masculinity_2,Femininity.2,Hair.2,Skintone.3,Race.3,RaceTextbox.3,Afrocentric.3,Eurocentric.3,Asiocentric.3,Masculinity_3,Femininity.3,Hair.3,Skintone.4,Race.4,RaceTextbox.4,Afrocentric.4,Eurocentric.4,Asiocentric.4,Masculinity_4,Femininity.4,Hair.4,Skintone.5,Race.5,RaceTextbox.5,Afrocentric.5,Eurocentric.5,Asiocentric.5,Masculinity_5,Femininity.5,Hair.5,Skintone.6,Race.6,RaceTextbox.6,Afrocentric.6,Eurocentric.6,Asiocentric.6,Masculinity_6,Femininity.6,Hair.6,Skintone.7,Race.7,RaceTextbox.7,Afrocentric.7,Eurocentric.7,Asiocentric.7,Masculinity_7,Femininity.7,Hair.7,Skintone.8,Race.8,RaceTextbox.8,Afrocentric.8,Eurocentric.8,Asiocentric.8,Masculinity_8,Femininity.8,Hair.8,Skintone.9,Race.9,RaceTextbox.9,Afrocentric.9,Eurocentric.9,Asiocentric.9,Masculinity_9,Femininity.9,Hair.9,Skintone.10,Race.10,RaceTextbox.10,Afrocentric.10,Eurocentric.10,Asiocentric.10,Masculinity_10,Femininity.10,Hair.10,Skintone.11,Race.11,RaceTextbox.11,Afrocentric.11,Eurocentric.11,Asiocentric.11,Masculinity_11,Femininity.11,Hair.11,Skintone.12,Race.12,RaceTextbox.12,Afrocentric.12,Eurocentric.12,Asiocentric.12,Masculinity_12,Femininity.12,Hair.12,Skintone.13,Race.13,RaceTextbox.13,Afrocentric.13,Eurocentric.13,Asiocentric.13,Masculinity_13,Femininity.13,Hair.13,Skintone.14,Race.14,RaceTextbox.14,Afrocentric.14,Eurocentric.14,Asiocentric.14,Masculinity_14,Femininity.14,Hair.14,Skintone.15,Race.15,RaceTextbox.15,Afrocentric.15,Eurocentric.15,Asiocentric.15,Masculinity_15,Femininity.15,Hair.15,Skintone.16,Race.16,RaceTextbox.16,Afrocentric.16,Eurocentric.16,Asiocentric.16,Masculinity_16,Femininity.16,Hair.16
162,321,Black,men,short,27.png,bms27.png,No,No,Yes,170.9889374,152.06262,119.82739,101.82853,0.49170175,6,Black or African-American,,7,1,1,7,1,1,6,Black or African-American,,7,1,1,7,1,1,6,Black or African-American,,7,1,1,7,1,1,5,Black or African-American,,5,3,1,5,2,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,322,Black,men,short,28.png,bms28.png,No,No,Yes,116.6680069,107.003395,88.98842,76.76743,0.36054003,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,324,Black,men,short,3.png,bms3.png,No,No,Yes,138.7141724,100.06898,136.80782,80.484146,0.48992038,6,Black or African-American,,7,1,1,7,1,1,6,Black or African-American,,7,1,1,5,2,NA,6,Black or African-American,,7,3,2,7,1,2,6,Black or African-American,,7,1,1,7,1,1,5,Black or African-American,,7,1,1,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,328,Black,men,short,33.png,bms33.png,No,No,Yes,160.8770294,160.88445,133.64241,117.174034,0.5421469,6,Black or African-American,,6,3,1,7,1,2,5,Black or African-American,,5,1,1,7,1,1,6,Black or African-American,,7,1,1,7,1,1,5,Black or African-American,,6,2,2,6,2,2,6,Black or African-American,,7,1,1,7,1,1,6,Black or African-American,,7,1,1,7,1,2,7,Black or African-American,,7,1,1,7,1,2,7,Black or African-American,,7,1,1,1,7,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,329,Black,men,short,34.png,bms34.png,No,No,Yes,169.370224,142.35922,132.06721,129.91063,0.52588385,6,Black or African-American,,7,2,1,7,1,1,7,Black or African-American,,7,1,1,7,1,1,6,Black or African-American,,7,1,1,7,1,1,7,Black or African-American,,7,1,1,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,331,Black,men,short,36.png,bms36.png,No,No,Yes,137.274231,146.12823,107.684875,83.41674,0.44748726,6,Black or African-American,,6,2,3,5,1,1,5,Black or African-American,,5,3,3,4,3,2,5,Black or African-American,,7,1,1,6,2,1,5,Black or African-American,,7,1,1,7,1,1,6,Black or African-American,,6,1,1,6,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,332,Black,men,short,37.png,bms37.png,No,No,Yes,149.9062042,184.33705,167.89554,159.3026,0.66969424,3,Black or African-American,,6,1,1,5,1,1,4,Black or African-American,,5,1,1,7,1,1,4,Black or African-American,,5,5,1,7,1,2,4,Not listed,Mixed,6,5,1,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,334,Black,men,short,39.png,bms39.png,No,No,Yes,167.1401062,133.27864,110.54385,101.44086,0.44988993,5,Black or African-American,,1,1,1,7,1,1,5,Black or African-American,,6,1,1,6,1,1,6,Black or African-American,,6,3,2,5,2,1,5,Black or African-American,,6,1,1,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,339,Black,men,short,43.png,bms43.png,No,No,Yes,162.5170746,159.62495,132.50998,110.906364,0.5361469,5,Black or African-American,,6,3,1,6,2,1,6,Black or African-American,,7,2,1,5,2,1,5,Black or African-American,,6,3,2,6,2,1,4,White,,2,6,1,7,1,1,4,Black or African-American,,6,2,4,5,2,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,340,Black,men,short,44.png,bms44.png,No,No,Yes,160.6199951,138.92108,135.49107,145.7039,0.53708863,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,343,Black,men,short,47.png,bms47.png,No,No,Yes,120.9243774,77.63315,69.36919,63.81547,0.27735645,6,Black or African-American,,5,1,1,4,1,1,6,Black or African-American,,7,1,1,7,1,1,5,Black or African-American,,6,1,1,6,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
