,X,stim.race,stim.gen,hairlength,stim.num,fullstimname,men.low.agree,dup,matches_prompt,discriminator_score,red_mean,green_mean,blue_mean,luminance,Skintone.1,Race.1,RaceTextbox.1,Afrocentric.1,Eurocentric.1,Asiocentric.1,Masculinity_1,Femininity.1,Hair.1,Skintone.2,Race.2,RaceTextbox.2,Afrocentric.2,Eurocentric.2,Asiocentric.2,Masculinity_2,Femininity.2,Hair.2,Skintone.3,Race.3,RaceTextbox.3,Afrocentric.3,Eurocentric.3,Asiocentric.3,Masculinity_3,Femininity.3,Hair.3,Skintone.4,Race.4,RaceTextbox.4,Afrocentric.4,Eurocentric.4,Asiocentric.4,Masculinity_4,Femininity.4,Hair.4,Skintone.5,Race.5,RaceTextbox.5,Afrocentric.5,Eurocentric.5,Asiocentric.5,Masculinity_5,Femininity.5,Hair.5,Skintone.6,Race.6,RaceTextbox.6,Afrocentric.6,Eurocentric.6,Asiocentric.6,Masculinity_6,Femininity.6,Hair.6,Skintone.7,Race.7,RaceTextbox.7,Afrocentric.7,Eurocentric.7,Asiocentric.7,Masculinity_7,Femininity.7,Hair.7,Skintone.8,Race.8,RaceTextbox.8,Afrocentric.8,Eurocentric.8,Asiocentric.8,Masculinity_8,Femininity.8,Hair.8,Skintone.9,Race.9,RaceTextbox.9,Afrocentric.9,Eurocentric.9,Asiocentric.9,Masculinity_9,Femininity.9,Hair.9,Skintone.10,Race.10,RaceTextbox.10,Afrocentric.10,Eurocentric.10,Asiocentric.10,Masculinity_10,Femininity.10,Hair.10,Skintone.11,Race.11,RaceTextbox.11,Afrocentric.11,Eurocentric.11,Asiocentric.11,Masculinity_11,Femininity.11,Hair.11,Skintone.12,Race.12,RaceTextbox.12,Afrocentric.12,Eurocentric.12,Asiocentric.12,Masculinity_12,Femininity.12,Hair.12,Skintone.13,Race.13,RaceTextbox.13,Afrocentric.13,Eurocentric.13,Asiocentric.13,Masculinity_13,Femininity.13,Hair.13,Skintone.14,Race.14,RaceTextbox.14,Afrocentric.14,Eurocentric.14,Asiocentric.14,Masculinity_14,Femininity.14,Hair.14,Skintone.15,Race.15,RaceTextbox.15,Afrocentric.15,Eurocentric.15,Asiocentric.15,Masculinity_15,Femininity.15,Hair.15,Skintone.16,Race.16,RaceTextbox.16,Afrocentric.16,Eurocentric.16,Asiocentric.16,Masculinity_16,Femininity.16,Hair.16
1,2,Asian,men,long,10.png,aml10.png,No,No,Yes,164.0626678,143.50525,130.51797,127.004875,0.52167237,2,Asian,,1,1,7,5,2,3,2,Asian,,1,1,7,7,1,2,2,Asian,,1,2,7,6,2,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,Asian,men,long,100.png,aml100.png,No,No,Yes,128.8761444,104.565636,105.18365,104.22744,0.41169888,2,Asian,,1,1,7,7,1,6,1,Asian,,1,2,7,7,1,6,1,Native Hawaiian or Other Pacific Islander,,5,5,5,4,5,6,1,Asian,,1,1,7,7,1,7,1,Asian,,1,1,7,5,3,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,Asian,men,long,12.png,aml12.png,No,No,Yes,144.6371002,172.98244,106.01259,82.421684,0.4649122,4,Asian,,1,1,6,5,1,6,1,White,,1,7,2,7,1,7,3,Asian,,1,1,6,5,1,4,3,Asian,,1,1,7,4,2,6,4,Asian,,1,2,6,5,2,6,2,Asian,,1,1,5,6,2,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,Asian,men,long,14.png,aml14.png,No,No,Yes,142.8746948,127.703186,116.8221,117.75072,0.46746358,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Asian,men,long,17.png,aml17.png,No,No,Yes,159.6928711,121.98842,111.388306,103.47533,0.44341797,4,Asian,,6,5,6,6,2,2,3,Asian,,2,4,6,3,4,3,2,Asian,,1,1,7,5,3,2,3,American Indian or Alaska Native,,1,1,5,6,2,3,2,Asian,,2,5,5,3,5,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,11,Asian,men,long,18.png,aml18.png,No,No,Yes,170.5854492,165.95694,143.71379,138.21706,0.58057874,2,Asian,,1,1,6,6,2,6,3,Asian,,1,2,7,4,2,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,12,Asian,men,long,19.png,aml19.png,No,No,Yes,137.9535828,91.56545,95.289536,94.03359,0.37022313,5,American Indian or Alaska Native,,1,4,4,7,1,6,6,Not listed,Arabic,6,2,1,7,1,5,5,Not listed,Middle Eastern,2,3,4,5,3,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,20,Asian,men,long,26.png,aml26.png,No,No,Yes,144.64534,191.14874,185.18707,177.14769,0.7289207,1,Asian,,1,1,6,4,4,4,1,Asian,,1,1,6,3,5,6,1,Asian,,1,1,7,5,3,2,3,Asian,,1,2,7,5,4,4,1,Asian,,1,4,5,5,3,4,1,Asian,,1,1,7,7,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,21,Asian,men,long,27.png,aml27.png,No,No,Yes,151.837616,152.02042,142.88423,135.81468,0.5659491,3,Asian,,3,3,6,5,2,6,3,Asian,,1,1,7,7,1,6,4,Asian,,1,1,5,7,1,5,2,Native Hawaiian or Other Pacific Islander,,1,2,7,7,1,7,4,Native Hawaiian or Other Pacific Islander,,1,1,3,4,3,6,2,Asian,,1,1,7,7,1,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,22,Asian,men,long,28.png,aml28.png,No,No,Yes,140.636734,115.93369,95.40514,83.78427,0.38796988,3,Asian,,1,2,6,5,2,6,3,Asian,,1,2,5,5,1,7,3,Asian,,1,1,7,6,2,6,4,Asian,,1,1,7,7,1,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,23,Asian,men,long,29.png,aml29.png,No,No,Yes,137.261734,134.46371,97.04609,73.15345,0.4050174,2,White,,1,6,1,7,1,5,1,White,,1,7,1,6,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,25,Asian,men,long,30.png,aml30.png,No,No,Yes,116.6680069,107.003395,88.98842,76.76743,0.36054003,3,Asian,,2,2,4,3,2,5,4,Asian,,1,1,6,5,2,6,1,Asian,,1,1,7,7,1,7,3,Asian,,1,1,7,7,1,6,3,Asian,,1,1,7,7,1,6,3,Asian,,1,1,7,6,2,7,3,Asian,,1,2,6,7,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,28,Asian,men,long,33.png,aml33.png,No,No,Yes,109.7448044,103.6672,96.05145,93.62058,0.38233596,2,Asian,,1,1,4,4,2,5,3,Asian,,2,2,7,5,4,7,1,Asian,,1,3,6,7,1,5,4,Asian,,1,3,6,5,3,6,1,Asian,,1,1,7,6,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,29,Asian,men,long,34.png,aml34.png,No,No,Yes,104.4629059,118.52278,104.716896,96.1953,0.41975698,3,Asian,,1,7,1,7,1,7,2,Asian,,1,2,6,5,4,7,3,Asian,,1,1,7,6,2,6,5,Asian,Asian,1,1,7,6,2,7,2,Asian,,1,3,6,5,1,3,NA,,,NA,NA,NA,NA,NA,NA,4,Native Hawaiian or Other Pacific Islander,,1,2,4,6,2,7,2,Asian,,1,1,7,6,2,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,30,Asian,men,long,35.png,aml35.png,No,No,Yes,164.8303833,185.75671,172.14711,166.14891,0.6847394,5,Asian,,1,1,6,5,1,7,3,Asian,,1,1,7,7,1,6,4,Asian,,1,3,6,5,1,4,2,Asian,,1,2,7,6,1,7,3,Asian,,1,2,4,6,1,7,5,Asian,,1,NA,6,4,1,6,3,Native Hawaiian or Other Pacific Islander,,2,2,6,5,2,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,31,Asian,men,long,36.png,aml36.png,No,No,Yes,167.1401062,133.27864,110.54385,101.44086,0.44988993,4,Native Hawaiian or Other Pacific Islander,,1,2,4,4,2,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,33,Asian,men,long,38.png,aml38.png,No,No,Yes,159.2909393,151.48192,137.5523,127.19562,0.5481069,4,Asian,,1,1,7,6,1,7,2,Asian,,1,2,7,6,1,6,2,Asian,,1,1,7,7,1,6,3,Native Hawaiian or Other Pacific Islander,,1,4,5,7,1,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,34,Asian,men,long,39.png,aml39.png,No,No,Yes,117.4791718,104.23934,76.74076,62.438744,0.31983042,4,American Indian or Alaska Native,,2,1,6,6,2,6,4,Native Hawaiian or Other Pacific Islander,,1,1,1,6,1,6,4,American Indian or Alaska Native,,1,1,2,4,3,7,4,American Indian or Alaska Native,,1,1,3,6,2,7,2,American Indian or Alaska Native,,2,3,4,5,3,6,3,White,,1,7,5,7,1,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,35,Asian,men,long,4.png,aml4.png,No,No,Yes,173.2068329,117.52995,112.97027,102.60378,0.44388956,4,Asian,,1,3,6,5,2,5,4,Asian,,1,1,5,6,2,7,2,Native Hawaiian or Other Pacific Islander,,5,6,4,4,3,3,2,Asian,,1,2,7,5,2,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,36,Asian,men,long,40.png,aml40.png,No,No,Yes,132.2465973,148.30035,132.44504,129.14972,0.5316831,3,Asian,,1,1,7,6,1,6,5,Asian,,1,1,7,5,3,5,2,Native Hawaiian or Other Pacific Islander,,1,2,6,2,2,4,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,38,Asian,men,long,42.png,aml42.png,No,No,Yes,140.3771973,123.61787,117.97198,121.82208,0.46843347,1,White,,1,5,1,4,2,6,1,Asian,,NA,4,6,3,6,7,2,Asian,,1,1,7,2,5,7,1,Asian,,1,1,7,2,6,6,2,Asian,,1,3,5,1,7,7,1,Asian,,1,1,7,5,3,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,41,Asian,men,long,45.png,aml45.png,No,No,Yes,115.3499146,119.96459,116.70427,144.2317,0.46817368,2,Asian,,2,3,6,5,3,4,1,Asian,,1,2,7,5,4,2,2,Asian,,1,3,5,3,3,3,1,Asian,,1,1,7,4,4,3,1,White,,1,6,1,4,4,3,1,Asian,,1,4,5,3,5,3,1,Asian,,1,2,6,5,3,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,43,Asian,men,long,47.png,aml47.png,No,No,Yes,120.619812,93.91515,87.95182,83.81832,0.3487127,3,Asian,,1,1,7,7,1,7,2,Asian,,3,1,5,3,2,7,2,Asian,,1,1,7,7,3,7,2,Asian,,1,1,7,7,1,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,45,Asian,men,long,49.png,aml49.png,No,No,Yes,182.5407715,148.13187,131.06812,123.3004,0.5260255,4,Asian,,1,1,6,6,1,6,1,Asian,,1,1,7,2,4,5,3,Asian,,1,2,7,4,4,4,2,Asian,,1,1,6,6,NA,6,2,Asian,,1,1,4,3,2,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,47,Asian,men,long,50.png,aml50.png,No,No,Yes,147.7268066,121.10183,108.13212,98.20251,0.4320541,2,Asian,,1,1,7,7,1,6,2,Asian,,1,4,5,6,2,6,3,Asian,,1,1,6,6,1,5,3,Native Hawaiian or Other Pacific Islander,,1,2,5,4,3,5,2,Asian,,1,1,7,7,1,4,3,American Indian or Alaska Native,,1,3,6,6,2,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,49,Asian,men,long,52.png,aml52.png,No,No,Yes,76.07169342,112.457565,108.975296,104.49138,0.4289893,3,Asian,,1,3,6,4,4,4,3,Asian,,1,1,7,7,1,7,1,American Indian or Alaska Native,,1,5,5,7,1,7,2,Asian,,1,1,7,7,1,7,1,White,,1,7,1,4,2,7,4,Asian,,1,3,5,5,3,6,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,57,Asian,men,long,6.png,aml6.png,No,No,Yes,179.2141724,173.59814,159.27292,144.23276,0.63229036,3,Asian,,1,3,7,6,4,7,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,62,Asian,men,long,64.png,aml64.png,No,No,Yes,141.1320648,141.59276,133.79059,122.2996,0.52792394,3,American Indian or Alaska Native,,2,3,5,5,3,3,2,Asian,,1,1,4,4,5,3,1,Asian,,1,5,5,7,1,5,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,66,Asian,men,long,68.png,aml68.png,No,No,Yes,161.9971008,197.65283,156.32138,141.53384,0.6433104,3,Asian,,1,1,7,5,3,2,3,Asian,,1,1,7,7,2,2,3,Asian,,1,3,5,4,4,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
