,percent_perturbed,perturbation,input,readable_output,model_type,tokenized_output,confidence,bleu_score,control_number,case,shuffled
0,100,lemma,bpe_set/lemma_100.en.bpe,translations/out_lemma_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_100.zh_shuffled-en-zh.bpe,μ = 28.5 ± 0.7,28.5,1.0,perturbation,shuffled
1,10,lemma,bpe_set/lemma_10.en.bpe,translations/out_lemma_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_10.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.7,35.9,1.0,perturbation,shuffled
2,20,lemma,bpe_set/lemma_20.en.bpe,translations/out_lemma_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_20.zh_shuffled-en-zh.bpe,μ = 35.1 ± 0.7,35.1,1.0,perturbation,shuffled
3,30,lemma,bpe_set/lemma_30.en.bpe,translations/out_lemma_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_30.zh_shuffled-en-zh.bpe,μ = 34.2 ± 0.7,34.2,1.0,perturbation,shuffled
4,40,lemma,bpe_set/lemma_40.en.bpe,translations/out_lemma_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_40.zh_shuffled-en-zh.bpe,μ = 33.2 ± 0.7,33.2,1.0,perturbation,shuffled
5,50,lemma,bpe_set/lemma_50.en.bpe,translations/out_lemma_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_50.zh_shuffled-en-zh.bpe,μ = 32.4 ± 0.7,32.4,1.0,perturbation,shuffled
6,60,lemma,bpe_set/lemma_60.en.bpe,translations/out_lemma_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_60.zh_shuffled-en-zh.bpe,μ = 31.3 ± 0.7,31.3,1.0,perturbation,shuffled
7,70,lemma,bpe_set/lemma_70.en.bpe,translations/out_lemma_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_70.zh_shuffled-en-zh.bpe,μ = 30.6 ± 0.7,30.6,1.0,perturbation,shuffled
8,80,lemma,bpe_set/lemma_80.en.bpe,translations/out_lemma_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_80.zh_shuffled-en-zh.bpe,μ = 30.0 ± 0.7,30.0,1.0,perturbation,shuffled
9,90,lemma,bpe_set/lemma_90.en.bpe,translations/out_lemma_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_lemma_90.zh_shuffled-en-zh.bpe,μ = 29.1 ± 0.7,29.1,1.0,perturbation,shuffled
10,100,punct.,bpe_set/no_punctuation_100.en.bpe,translations/out_no_punctuation_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_100.zh_shuffled-en-zh.bpe,μ = 28.7 ± 0.6,28.7,2.0,perturbation,shuffled
11,10,punct.,bpe_set/no_punctuation_10.en.bpe,translations/out_no_punctuation_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_10.zh_shuffled-en-zh.bpe,μ = 35.2 ± 0.7,35.2,2.0,perturbation,shuffled
12,20,punct.,bpe_set/no_punctuation_20.en.bpe,translations/out_no_punctuation_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_20.zh_shuffled-en-zh.bpe,μ = 34.5 ± 0.7,34.5,2.0,perturbation,shuffled
13,30,punct.,bpe_set/no_punctuation_30.en.bpe,translations/out_no_punctuation_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_30.zh_shuffled-en-zh.bpe,μ = 33.9 ± 0.7,33.9,2.0,perturbation,shuffled
14,40,punct.,bpe_set/no_punctuation_40.en.bpe,translations/out_no_punctuation_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_40.zh_shuffled-en-zh.bpe,μ = 33.1 ± 0.7,33.1,2.0,perturbation,shuffled
15,50,punct.,bpe_set/no_punctuation_50.en.bpe,translations/out_no_punctuation_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_50.zh_shuffled-en-zh.bpe,μ = 32.2 ± 0.7,32.2,2.0,perturbation,shuffled
16,60,punct.,bpe_set/no_punctuation_60.en.bpe,translations/out_no_punctuation_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_60.zh_shuffled-en-zh.bpe,μ = 31.2 ± 0.7,31.2,2.0,perturbation,shuffled
17,70,punct.,bpe_set/no_punctuation_70.en.bpe,translations/out_no_punctuation_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_70.zh_shuffled-en-zh.bpe,μ = 30.4 ± 0.7,30.4,2.0,perturbation,shuffled
18,80,punct.,bpe_set/no_punctuation_80.en.bpe,translations/out_no_punctuation_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_80.zh_shuffled-en-zh.bpe,μ = 29.4 ± 0.7,29.5,2.0,perturbation,shuffled
19,90,punct.,bpe_set/no_punctuation_90.en.bpe,translations/out_no_punctuation_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_no_punctuation_90.zh_shuffled-en-zh.bpe,μ = 28.7 ± 0.6,28.7,2.0,perturbation,shuffled
20,100,NER-all,bpe_set/removed_named_allentities_100.en.bpe,translations/out_removed_named_allentities_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_100.zh_shuffled-en-zh.bpe,μ = 21.3 ± 0.6,21.3,3.0,perturbation,shuffled
21,10,NER-all,bpe_set/removed_named_allentities_10.en.bpe,translations/out_removed_named_allentities_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_10.zh_shuffled-en-zh.bpe,μ = 34.8 ± 0.7,34.8,3.0,perturbation,shuffled
22,20,NER-all,bpe_set/removed_named_allentities_20.en.bpe,translations/out_removed_named_allentities_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_20.zh_shuffled-en-zh.bpe,μ = 32.9 ± 0.7,32.9,3.0,perturbation,shuffled
23,30,NER-all,bpe_set/removed_named_allentities_30.en.bpe,translations/out_removed_named_allentities_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_30.zh_shuffled-en-zh.bpe,μ = 31.2 ± 0.7,31.2,3.0,perturbation,shuffled
24,40,NER-all,bpe_set/removed_named_allentities_40.en.bpe,translations/out_removed_named_allentities_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_40.zh_shuffled-en-zh.bpe,μ = 29.2 ± 0.6,29.2,3.0,perturbation,shuffled
25,50,NER-all,bpe_set/removed_named_allentities_50.en.bpe,translations/out_removed_named_allentities_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_50.zh_shuffled-en-zh.bpe,μ = 27.7 ± 0.6,27.7,3.0,perturbation,shuffled
26,60,NER-all,bpe_set/removed_named_allentities_60.en.bpe,translations/out_removed_named_allentities_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_60.zh_shuffled-en-zh.bpe,μ = 26.4 ± 0.6,26.4,3.0,perturbation,shuffled
27,70,NER-all,bpe_set/removed_named_allentities_70.en.bpe,translations/out_removed_named_allentities_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_70.zh_shuffled-en-zh.bpe,μ = 25.1 ± 0.6,25.1,3.0,perturbation,shuffled
28,80,NER-all,bpe_set/removed_named_allentities_80.en.bpe,translations/out_removed_named_allentities_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_80.zh_shuffled-en-zh.bpe,μ = 23.7 ± 0.6,23.8,3.0,perturbation,shuffled
29,90,NER-all,bpe_set/removed_named_allentities_90.en.bpe,translations/out_removed_named_allentities_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_allentities_90.zh_shuffled-en-zh.bpe,μ = 22.6 ± 0.6,22.6,3.0,perturbation,shuffled
30,100,number,bpe_set/removed_named_entities_cardinal_100.en.bpe,translations/out_removed_named_entities_cardinal_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_100.zh_shuffled-en-zh.bpe,μ = 33.6 ± 0.7,33.6,4.0,perturbation,shuffled
31,10,number,bpe_set/removed_named_entities_cardinal_10.en.bpe,translations/out_removed_named_entities_cardinal_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_10.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.7,36.4,4.0,perturbation,shuffled
32,20,number,bpe_set/removed_named_entities_cardinal_20.en.bpe,translations/out_removed_named_entities_cardinal_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_20.zh_shuffled-en-zh.bpe,μ = 36.0 ± 0.8,36.0,4.0,perturbation,shuffled
33,30,number,bpe_set/removed_named_entities_cardinal_30.en.bpe,translations/out_removed_named_entities_cardinal_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_30.zh_shuffled-en-zh.bpe,μ = 35.7 ± 0.8,35.7,4.0,perturbation,shuffled
34,40,number,bpe_set/removed_named_entities_cardinal_40.en.bpe,translations/out_removed_named_entities_cardinal_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_40.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.7,35.5,4.0,perturbation,shuffled
35,50,number,bpe_set/removed_named_entities_cardinal_50.en.bpe,translations/out_removed_named_entities_cardinal_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_50.zh_shuffled-en-zh.bpe,μ = 35.2 ± 0.7,35.2,4.0,perturbation,shuffled
36,60,number,bpe_set/removed_named_entities_cardinal_60.en.bpe,translations/out_removed_named_entities_cardinal_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_60.zh_shuffled-en-zh.bpe,μ = 34.9 ± 0.7,34.9,4.0,perturbation,shuffled
37,70,number,bpe_set/removed_named_entities_cardinal_70.en.bpe,translations/out_removed_named_entities_cardinal_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_70.zh_shuffled-en-zh.bpe,μ = 34.6 ± 0.7,34.6,4.0,perturbation,shuffled
38,80,number,bpe_set/removed_named_entities_cardinal_80.en.bpe,translations/out_removed_named_entities_cardinal_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_80.zh_shuffled-en-zh.bpe,μ = 34.3 ± 0.7,34.3,4.0,perturbation,shuffled
39,90,number,bpe_set/removed_named_entities_cardinal_90.en.bpe,translations/out_removed_named_entities_cardinal_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_cardinal_90.zh_shuffled-en-zh.bpe,μ = 34.0 ± 0.7,34.0,4.0,perturbation,shuffled
40,100,NER-org,bpe_set/removed_named_entities_organization_100.en.bpe,translations/out_removed_named_entities_organization_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_100.zh_shuffled-en-zh.bpe,μ = 31.6 ± 0.7,31.6,5.0,perturbation,shuffled
41,10,NER-org,bpe_set/removed_named_entities_organization_10.en.bpe,translations/out_removed_named_entities_organization_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_10.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,5.0,perturbation,shuffled
42,20,NER-org,bpe_set/removed_named_entities_organization_20.en.bpe,translations/out_removed_named_entities_organization_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_20.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.8,35.5,5.0,perturbation,shuffled
43,30,NER-org,bpe_set/removed_named_entities_organization_30.en.bpe,translations/out_removed_named_entities_organization_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_30.zh_shuffled-en-zh.bpe,μ = 35.0 ± 0.7,35.0,5.0,perturbation,shuffled
44,40,NER-org,bpe_set/removed_named_entities_organization_40.en.bpe,translations/out_removed_named_entities_organization_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_40.zh_shuffled-en-zh.bpe,μ = 34.3 ± 0.7,34.3,5.0,perturbation,shuffled
45,50,NER-org,bpe_set/removed_named_entities_organization_50.en.bpe,translations/out_removed_named_entities_organization_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_50.zh_shuffled-en-zh.bpe,μ = 33.7 ± 0.7,33.7,5.0,perturbation,shuffled
46,60,NER-org,bpe_set/removed_named_entities_organization_60.en.bpe,translations/out_removed_named_entities_organization_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_60.zh_shuffled-en-zh.bpe,μ = 33.3 ± 0.7,33.3,5.0,perturbation,shuffled
47,70,NER-org,bpe_set/removed_named_entities_organization_70.en.bpe,translations/out_removed_named_entities_organization_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_70.zh_shuffled-en-zh.bpe,μ = 32.9 ± 0.7,32.9,5.0,perturbation,shuffled
48,80,NER-org,bpe_set/removed_named_entities_organization_80.en.bpe,translations/out_removed_named_entities_organization_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_80.zh_shuffled-en-zh.bpe,μ = 32.5 ± 0.7,32.5,5.0,perturbation,shuffled
49,90,NER-org,bpe_set/removed_named_entities_organization_90.en.bpe,translations/out_removed_named_entities_organization_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_organization_90.zh_shuffled-en-zh.bpe,μ = 31.9 ± 0.7,31.9,5.0,perturbation,shuffled
50,100,NER-per,bpe_set/removed_named_entities_person_100.en.bpe,translations/out_removed_named_entities_person_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_100.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.8,36.4,6.0,perturbation,shuffled
51,10,NER-per,bpe_set/removed_named_entities_person_10.en.bpe,translations/out_removed_named_entities_person_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_10.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,6.0,perturbation,shuffled
52,20,NER-per,bpe_set/removed_named_entities_person_20.en.bpe,translations/out_removed_named_entities_person_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_20.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.6,6.0,perturbation,shuffled
53,30,NER-per,bpe_set/removed_named_entities_person_30.en.bpe,translations/out_removed_named_entities_person_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_30.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,6.0,perturbation,shuffled
54,40,NER-per,bpe_set/removed_named_entities_person_40.en.bpe,translations/out_removed_named_entities_person_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_40.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,6.0,perturbation,shuffled
55,50,NER-per,bpe_set/removed_named_entities_person_50.en.bpe,translations/out_removed_named_entities_person_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_50.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,6.0,perturbation,shuffled
56,60,NER-per,bpe_set/removed_named_entities_person_60.en.bpe,translations/out_removed_named_entities_person_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_60.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.7,36.5,6.0,perturbation,shuffled
57,70,NER-per,bpe_set/removed_named_entities_person_70.en.bpe,translations/out_removed_named_entities_person_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_70.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,6.0,perturbation,shuffled
58,80,NER-per,bpe_set/removed_named_entities_person_80.en.bpe,translations/out_removed_named_entities_person_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_80.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.8,36.4,6.0,perturbation,shuffled
59,90,NER-per,bpe_set/removed_named_entities_person_90.en.bpe,translations/out_removed_named_entities_person_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_removed_named_entities_person_90.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.8,36.4,6.0,perturbation,shuffled
60,100,article,bpe_set/rm_article_100.en.bpe,translations/out_rm_article_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_100.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.8,35.5,7.0,perturbation,shuffled
61,10,article,bpe_set/rm_article_10.en.bpe,translations/out_rm_article_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_10.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,7.0,perturbation,shuffled
62,20,article,bpe_set/rm_article_20.en.bpe,translations/out_rm_article_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_20.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,7.0,perturbation,shuffled
63,30,article,bpe_set/rm_article_30.en.bpe,translations/out_rm_article_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_30.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,7.0,perturbation,shuffled
64,40,article,bpe_set/rm_article_40.en.bpe,translations/out_rm_article_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_40.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.7,36.5,7.0,perturbation,shuffled
65,50,article,bpe_set/rm_article_50.en.bpe,translations/out_rm_article_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_50.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.8,36.3,7.0,perturbation,shuffled
66,60,article,bpe_set/rm_article_60.en.bpe,translations/out_rm_article_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_60.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,7.0,perturbation,shuffled
67,70,article,bpe_set/rm_article_70.en.bpe,translations/out_rm_article_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_70.zh_shuffled-en-zh.bpe,μ = 36.1 ± 0.8,36.1,7.0,perturbation,shuffled
68,80,article,bpe_set/rm_article_80.en.bpe,translations/out_rm_article_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_80.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.8,35.9,7.0,perturbation,shuffled
69,90,article,bpe_set/rm_article_90.en.bpe,translations/out_rm_article_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_article_90.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.8,35.9,7.0,perturbation,shuffled
70,100,demonstrative,bpe_set/rm_demonstrative_100.en.bpe,translations/out_rm_demonstrative_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_100.zh_shuffled-en-zh.bpe,μ = 35.5 ± 0.8,35.5,8.0,perturbation,shuffled
71,10,demonstrative,bpe_set/rm_demonstrative_10.en.bpe,translations/out_rm_demonstrative_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_10.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,8.0,perturbation,shuffled
72,20,demonstrative,bpe_set/rm_demonstrative_20.en.bpe,translations/out_rm_demonstrative_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_20.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.7,36.6,8.0,perturbation,shuffled
73,30,demonstrative,bpe_set/rm_demonstrative_30.en.bpe,translations/out_rm_demonstrative_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_30.zh_shuffled-en-zh.bpe,μ = 36.6 ± 0.8,36.6,8.0,perturbation,shuffled
74,40,demonstrative,bpe_set/rm_demonstrative_40.en.bpe,translations/out_rm_demonstrative_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_40.zh_shuffled-en-zh.bpe,μ = 36.5 ± 0.8,36.5,8.0,perturbation,shuffled
75,50,demonstrative,bpe_set/rm_demonstrative_50.en.bpe,translations/out_rm_demonstrative_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_50.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,8.0,perturbation,shuffled
76,60,demonstrative,bpe_set/rm_demonstrative_60.en.bpe,translations/out_rm_demonstrative_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_60.zh_shuffled-en-zh.bpe,μ = 36.2 ± 0.8,36.2,8.0,perturbation,shuffled
77,70,demonstrative,bpe_set/rm_demonstrative_70.en.bpe,translations/out_rm_demonstrative_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_70.zh_shuffled-en-zh.bpe,μ = 36.1 ± 0.8,36.1,8.0,perturbation,shuffled
78,80,demonstrative,bpe_set/rm_demonstrative_80.en.bpe,translations/out_rm_demonstrative_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_80.zh_shuffled-en-zh.bpe,μ = 35.9 ± 0.8,35.9,8.0,perturbation,shuffled
79,90,demonstrative,bpe_set/rm_demonstrative_90.en.bpe,translations/out_rm_demonstrative_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_rm_demonstrative_90.zh_shuffled-en-zh.bpe,μ = 35.8 ± 0.7,35.8,8.0,perturbation,shuffled
80,100,determiner,bpe_set/without_DT_100.en.bpe,translations/out_without_DT_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_100.zh_shuffled-en-zh.bpe,μ = 34.5 ± 0.7,34.5,9.0,perturbation,shuffled
81,10,determiner,bpe_set/without_DT_10.en.bpe,translations/out_without_DT_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_10.zh_shuffled-en-zh.bpe,μ = 36.4 ± 0.7,36.4,9.0,perturbation,shuffled
82,20,determiner,bpe_set/without_DT_20.en.bpe,translations/out_without_DT_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_20.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.7,36.3,9.0,perturbation,shuffled
83,30,determiner,bpe_set/without_DT_30.en.bpe,translations/out_without_DT_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_30.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.8,36.3,9.0,perturbation,shuffled
84,40,determiner,bpe_set/without_DT_40.en.bpe,translations/out_without_DT_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_40.zh_shuffled-en-zh.bpe,μ = 36.0 ± 0.8,36.0,9.0,perturbation,shuffled
85,50,determiner,bpe_set/without_DT_50.en.bpe,translations/out_without_DT_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_50.zh_shuffled-en-zh.bpe,μ = 35.7 ± 0.7,35.7,9.0,perturbation,shuffled
86,60,determiner,bpe_set/without_DT_60.en.bpe,translations/out_without_DT_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_60.zh_shuffled-en-zh.bpe,μ = 35.4 ± 0.7,35.4,9.0,perturbation,shuffled
87,70,determiner,bpe_set/without_DT_70.en.bpe,translations/out_without_DT_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_70.zh_shuffled-en-zh.bpe,μ = 35.2 ± 0.7,35.2,9.0,perturbation,shuffled
88,80,determiner,bpe_set/without_DT_80.en.bpe,translations/out_without_DT_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_80.zh_shuffled-en-zh.bpe,μ = 35.1 ± 0.7,35.1,9.0,perturbation,shuffled
89,90,determiner,bpe_set/without_DT_90.en.bpe,translations/out_without_DT_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_DT_90.zh_shuffled-en-zh.bpe,μ = 34.8 ± 0.7,34.8,9.0,perturbation,shuffled
90,100,prep.,bpe_set/without_prep_100.en.bpe,translations/out_without_prep_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_100.zh_shuffled-en-zh.bpe,μ = 30.0 ± 0.7,30.1,10.0,perturbation,shuffled
91,10,prep.,bpe_set/without_prep_10.en.bpe,translations/out_without_prep_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_10.zh_shuffled-en-zh.bpe,μ = 36.3 ± 0.8,36.3,10.0,perturbation,shuffled
92,20,prep.,bpe_set/without_prep_20.en.bpe,translations/out_without_prep_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_20.zh_shuffled-en-zh.bpe,μ = 35.8 ± 0.7,35.8,10.0,perturbation,shuffled
93,30,prep.,bpe_set/without_prep_30.en.bpe,translations/out_without_prep_30.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_30.zh_shuffled-en-zh.bpe,μ = 35.3 ± 0.7,35.3,10.0,perturbation,shuffled
94,40,prep.,bpe_set/without_prep_40.en.bpe,translations/out_without_prep_40.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_40.zh_shuffled-en-zh.bpe,μ = 34.8 ± 0.7,34.8,10.0,perturbation,shuffled
95,50,prep.,bpe_set/without_prep_50.en.bpe,translations/out_without_prep_50.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_50.zh_shuffled-en-zh.bpe,μ = 34.1 ± 0.7,34.1,10.0,perturbation,shuffled
96,60,prep.,bpe_set/without_prep_60.en.bpe,translations/out_without_prep_60.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_60.zh_shuffled-en-zh.bpe,μ = 33.1 ± 0.7,33.1,10.0,perturbation,shuffled
97,70,prep.,bpe_set/without_prep_70.en.bpe,translations/out_without_prep_70.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_70.zh_shuffled-en-zh.bpe,μ = 32.6 ± 0.7,32.6,10.0,perturbation,shuffled
98,80,prep.,bpe_set/without_prep_80.en.bpe,translations/out_without_prep_80.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_80.zh_shuffled-en-zh.bpe,μ = 31.5 ± 0.7,31.5,10.0,perturbation,shuffled
99,90,prep.,bpe_set/without_prep_90.en.bpe,translations/out_without_prep_90.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_without_prep_90.zh_shuffled-en-zh.bpe,μ = 30.9 ± 0.7,30.9,10.0,perturbation,shuffled
100,100,corrupt,bpe_set/with_typos_100.en.bpe,translations/out_with_typos_100.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_with_typos_100.zh_shuffled-en-zh.bpe,μ = 0.2 ± 0.0,0.2,11.0,perturbation,shuffled
101,10,corrupt,bpe_set/with_typos_10.en.bpe,translations/out_with_typos_10.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_with_typos_10.zh_shuffled-en-zh.bpe,μ = 30.1 ± 0.6,30.1,11.0,perturbation,shuffled
102,20,corrupt,bpe_set/with_typos_20.en.bpe,translations/out_with_typos_20.zh_shuffled-en-zh.tok,en-zh,out_bpe_set/out_with_typos_20.zh_shuffled-en-zh.bpe,μ = 23.3 ± 0.6,23.3,11.0,perturbation,shuffled
